StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q11,Q35,Q17_1,Q19_1,Q21_1,Q12,Q10,Q5,Q36,Q38,Q55,Q57,Q39,Q39
2017-02-05 11:04,2017-02-05 11:08,IP Address,173.242.184.17,100,249,TRUE,2017-02-05 11:04,GBQTG5656D,,,,,43.647995,-79.41770172,anonymous,EN,8616,Questions about Dilma's Socks,5,6,6,Yes,Moonlight Harvest,Anti-sweat technology,43,Male,"$90,000 to less than $100,000","University certificate, diploma, or degree",No,No
2017-02-05 2:35,2017-02-05 2:39,IP Address,173.242.184.17,100,267,TRUE,2017-02-05 2:35,MDNZQ9061C,,,,,43.647995,-79.41770172,anonymous,EN,992,Customer Complaint,5,3,5,No,Organic,Anti-sweat technology,19,Female,"$150,000 or more","University certificate, diploma, or degree",No,No
2017-02-09 23:25,2017-02-09 23:27,IP Address,173.242.184.17,100,143,TRUE,2017-02-09 23:25,MLYNJ1955B,,,,,43.647995,-79.41770172,anonymous,EN,6073,Questions about Dilma's Socks,5,6,6,No,Hydroponics,Sock bands that always stay up,66,Female,"$30,000 to less than $40,000",Registered Apprenticeship or other trades certificate or diploma,No,No
2017-02-09 8:22,2017-02-09 8:25,IP Address,173.242.184.17,100,128,TRUE,2017-02-09 8:22,OCVJA4084I,,,,,43.647995,-79.41770172,anonymous,EN,874492,Other,4,4,4,Yes,Organic,Unsure,46,Male,"$20,000 to less than $30,000","Post-graduate or professional schooling after university (e.g., Master's degree or Ph.D; law or medical school)",No,Yes
2017-02-06 6:36,2017-02-06 6:40,IP Address,173.242.184.17,100,241,TRUE,2017-02-06 6:36,QFCTM7650V,,,,,43.647995,-79.41770172,anonymous,EN,3956,Questions about Dilma's Socks,6,6,5,Yes,Organic,Anti-sweat technology,40,Male,"$150,000 or more",College or other non-university certificate or diploma,No,No
2017-02-07 10:41,2017-02-07 10:43,IP Address,173.242.184.17,100,136,TRUE,2017-02-07 10:41,COHJK2498A,,,,,43.647995,-79.41770172,anonymous,EN,199,Customer Complaint,3,2,2,No,Organic,Socks that never get holes,40,Male,"$40,000 to less than $75,000",College or other non-university certificate or diploma,No,Yes
2017-02-04 4:49,2017-02-04 4:52,IP Address,173.242.184.17,100,187,TRUE,2017-02-04 4:49,CEKHA8357R,,,,,43.647995,-79.41770172,anonymous,EN,60501,Customer Complaint,6,6,6,No,Hydroponics,Anti-sweat technology,56,Male,"$75,000 to less than $90,000",College or other non-university certificate or diploma,No,No
2017-02-07 20:32,2017-02-07 20:35,IP Address,173.242.184.17,100,183,TRUE,2017-02-07 20:32,ZOSKB3872G,,,,,43.647995,-79.41770172,anonymous,EN,24392,Customer Complaint,3,4,4,Yes,Hydroponics,Sock bands that always stay up,46,Male,"$100,000 to less than $150,000",Registered Apprenticeship or other trades certificate or diploma,No,No
2017-02-05 9:50,2017-02-05 9:54,IP Address,173.242.184.17,100,251,TRUE,2017-02-05 9:50,WYAQQ8137J,,,,,43.647995,-79.41770172,anonymous,EN,6949,Questions about Dilma's Socks,6,5,6,Yes,Organic,Unsure,58,Female,"$40,000 to less than $75,000",College or other non-university certificate or diploma,No,No
2017-02-06 12:11,2017-02-06 12:13,IP Address,173.242.184.17,100,156,TRUE,2017-02-06 12:11,EYWSN9955D,,,,,43.647995,-79.41770172,anonymous,EN,387,Customer Complaint,4,4,5,No,Organic,Socks that change colour so you never wear mismatched socks again,47,Female,"$40,000 to less than $75,000",College or other non-university certificate or diploma,No,Yes
2017-02-08 11:21,2017-02-08 11:24,IP Address,173.242.184.17,100,159,TRUE,2017-02-08 11:21,NZEQF1573C,,,,,43.647995,-79.41770172,anonymous,EN,7309,Customer Complaint,4,3,3,Yes,Moonlight Harvest,Anti-sweat technology,37,Female,"$30,000 to less than $40,000","University certificate, diploma, or degree",No,Yes
2017-02-03 20:10,2017-02-03 20:13,IP Address,173.242.184.17,100,175,TRUE,2017-02-03 20:10,BCJMH7540L,,,,,43.647995,-79.41770172,anonymous,EN,8700,Questions about Dilma's Socks,5,6,6,Yes,Organic,Anti-sweat technology,22,Male,"$40,000 to less than $75,000","University certificate, diploma, or degree",No,Yes
2017-02-06 17:52,2017-02-06 17:56,IP Address,173.242.184.17,100,207,TRUE,2017-02-06 17:52,UVNXK5719G,,,,,43.647995,-79.41770172,anonymous,EN,878,Questions about Dilma's Socks,3,2,3,No,Organic,Socks that never get holes,23,Male,"$100,000 to less than $150,000",Registered Apprenticeship or other trades certificate or diploma,No,Yes
2017-02-03 20:13,2017-02-03 20:17,IP Address,173.242.184.17,100,227,TRUE,2017-02-03 20:13,VOOGI2177J,,,,,43.647995,-79.41770172,anonymous,EN,19521,Other,4,4,3,Yes,Organic,Socks that change colour so you never wear mismatched socks again,44,Female,"$100,000 to less than $150,000",Registered Apprenticeship or other trades certificate or diploma,No,No
2017-02-07 17:27,2017-02-07 17:31,IP Address,173.242.184.17,100,231,TRUE,2017-02-07 17:27,PXKKZ6844M,,,,,43.647995,-79.41770172,anonymous,EN,691819,Customer Complaint,5,4,5,Yes,Conventional Farming,Socks that never get holes,56,Male,"$40,000 to less than $75,000","University certificate, diploma, or degree",No,Yes
2017-02-04 0:45,2017-02-04 0:48,IP Address,173.242.184.17,100,164,TRUE,2017-02-04 0:45,EYLAT0476K,,,,,43.647995,-79.41770172,anonymous,EN,640,Customer Complaint,6,6,5,Yes,Hydroponics,Socks that change colour so you never wear mismatched socks again,67,Female,"$10,000 to less than $20,000","University certificate, diploma, or degree",No,No
2017-02-09 17:56,2017-02-09 17:59,IP Address,173.242.184.17,100,198,TRUE,2017-02-09 17:56,MMDQK3782Q,,,,,43.647995,-79.41770172,anonymous,EN,39705,Customer Complaint,6,6,6,Yes,Organic,Unsure,40,Female,"$150,000 or more",College or other non-university certificate or diploma,No,No
2017-02-09 5:28,2017-02-09 5:32,IP Address,173.242.184.17,100,203,TRUE,2017-02-09 5:28,XNUJE7667R,,,,,43.647995,-79.41770172,anonymous,EN,1147,Customer Complaint,3,4,3,No,Hydroponics,Socks that change colour so you never wear mismatched socks again,29,Male,"$75,000 to less than $90,000",College or other non-university certificate or diploma,No,Yes
2017-02-07 13:07,2017-02-07 13:11,IP Address,173.242.184.17,100,240,TRUE,2017-02-07 13:07,WLOGB6092C,,,,,43.647995,-79.41770172,anonymous,EN,41652,Questions about Dilma's Socks,5,6,5,Yes,Hydroponics,Anti-sweat technology,41,Female,"$100,000 to less than $150,000",Registered Apprenticeship or other trades certificate or diploma,No,No
2017-02-09 16:00,2017-02-09 16:03,IP Address,173.242.184.17,100,206,TRUE,2017-02-09 16:00,CLAWB1786S,,,,,43.647995,-79.41770172,anonymous,EN,8984,Customer Complaint,3,4,3,No,Organic,Unsure,43,Male,"Less than $10,000",Registered Apprenticeship or other trades certificate or diploma,No,Yes
2017-02-07 17:53,2017-02-07 17:56,IP Address,173.242.184.17,100,164,TRUE,2017-02-07 17:53,QGHLS1725T,,,,,43.647995,-79.41770172,anonymous,EN,6036,Customer Complaint,5,3,3,No,Moonlight Harvest,Anti-sweat technology,65,Female,"$30,000 to less than $40,000",College or other non-university certificate or diploma,No,Yes
2017-02-05 18:15,2017-02-05 18:19,IP Address,173.242.184.17,100,246,TRUE,2017-02-05 18:15,QSHPQ8952K,,,,,43.647995,-79.41770172,anonymous,EN,418472,Questions about Dilma's Socks,3,3,3,No,Moonlight Harvest,Anti-sweat technology,48,Female,"$100,000 to less than $150,000","University certificate, diploma, or degree",No,No
2017-02-04 23:23,2017-02-04 23:26,IP Address,173.242.184.17,100,191,TRUE,2017-02-04 23:23,UVHZY7390E,,,,,43.647995,-79.41770172,anonymous,EN,7134,Customer Complaint,4,4,4,Yes,Organic,Anti-sweat technology,43,Male,"$20,000 to less than $30,000","University certificate, diploma, or degree",No,Yes
2017-02-07 8:18,2017-02-07 8:22,IP Address,173.242.184.17,100,207,TRUE,2017-02-07 8:18,FZXLR3122N,,,,,43.647995,-79.41770172,anonymous,EN,335,"Socks didn't fit, calling to exchange",4,4,6,No,Hydroponics,Socks that never get holes,56,Male,"$100,000 to less than $150,000",Secondary (high) school graduate,No,Yes
2017-02-03 8:10,2017-02-03 8:13,IP Address,173.242.184.17,100,186,TRUE,2017-02-03 8:10,OMDEV7563W,,,,,43.647995,-79.41770172,anonymous,EN,4886,Customer Complaint,4,4,4,No,Organic,Socks that never get holes,30,Male,"$90,000 to less than $100,000","University certificate, diploma, or degree",No,No
2017-02-08 15:41,2017-02-08 15:43,IP Address,173.242.184.17,100,119,TRUE,2017-02-08 15:41,DUJLV7547T,,,,,43.647995,-79.41770172,anonymous,EN,3139,Questions about Dilma's Socks,5,5,5,Yes,Organic,Socks that never get holes,26,Male,"Less than $10,000",College or other non-university certificate or diploma,No,No
2017-02-03 11:55,2017-02-03 11:59,IP Address,173.242.184.17,100,262,TRUE,2017-02-03 11:55,XHSPQ3245P,,,,,43.647995,-79.41770172,anonymous,EN,41582,Other,5,5,5,Yes,Organic,Anti-sweat technology,39,Female,"$10,000 to less than $20,000","None, or grade 1-8",Yes,Yes
2017-02-07 4:41,2017-02-07 4:44,IP Address,173.242.184.17,100,188,TRUE,2017-02-07 4:41,XWXRJ4340D,,,,,43.647995,-79.41770172,anonymous,EN,554,"Socks didn't fit, calling to exchange",5,5,5,Yes,Organic,Socks that never get holes,59,Female,"Less than $10,000",Registered Apprenticeship or other trades certificate or diploma,No,Yes
2017-02-04 21:27,2017-02-04 21:31,IP Address,173.242.184.17,100,276,TRUE,2017-02-04 21:27,EYGHD5447S,,,,,43.647995,-79.41770172,anonymous,EN,51301,Calling for a refund,6,5,7,Yes,Organic,Anti-sweat technology,85,Male,"$150,000 or more",Registered Apprenticeship or other trades certificate or diploma,No,No
2017-02-08 0:53,2017-02-08 0:57,IP Address,173.242.184.17,100,228,TRUE,2017-02-08 0:53,FFJUU4454I,,,,,43.647995,-79.41770172,anonymous,EN,111,Customer Complaint,3,3,3,Yes,Moonlight Harvest,Anti-sweat technology,29,Female,"$30,000 to less than $40,000",College or other non-university certificate or diploma,No,Yes
2017-02-09 5:54,2017-02-09 5:57,IP Address,173.242.184.17,100,168,TRUE,2017-02-09 5:54,MHVGP2615B,,,,,43.647995,-79.41770172,anonymous,EN,509936,"Socks didn't fit, calling to exchange",3,3,1,Yes,Organic,Socks that change colour so you never wear mismatched socks again,52,Female,"$150,000 or more",College or other non-university certificate or diploma,Yes,No
2017-02-06 6:24,2017-02-06 6:27,IP Address,173.242.184.17,100,190,TRUE,2017-02-06 6:24,HZVIO9450O,,,,,43.647995,-79.41770172,anonymous,EN,5410,Questions about Dilma's Socks,5,6,6,Yes,Moonlight Harvest,Unsure,48,Male,"$75,000 to less than $90,000","University certificate, diploma, or degree",No,No
2017-02-09 20:12,2017-02-09 20:16,IP Address,173.242.184.17,100,236,TRUE,2017-02-09 20:12,TPQGT8197D,,,,,43.647995,-79.41770172,anonymous,EN,67934,Other,4,3,4,No,Organic,Anti-sweat technology,60,Male,"$90,000 to less than $100,000","Post-graduate or professional schooling after university (e.g., Master's degree or Ph.D; law or medical school)",No,Yes
2017-02-04 19:45,2017-02-04 19:49,IP Address,173.242.184.17,100,229,TRUE,2017-02-04 19:45,GTHWD7665A,,,,,43.647995,-79.41770172,anonymous,EN,97573,"Socks didn't fit, calling to exchange",4,4,3,Yes,Organic,Anti-sweat technology,47,Male,"$30,000 to less than $40,000",College or other non-university certificate or diploma,No,Yes
2017-02-04 5:08,2017-02-04 5:11,IP Address,173.242.184.17,100,223,TRUE,2017-02-04 5:08,KCENP4085X,,,,,43.647995,-79.41770172,anonymous,EN,8682,Questions about Dilma's Socks,6,5,6,Yes,Organic,Anti-sweat technology,55,Female,"$90,000 to less than $100,000",Registered Apprenticeship or other trades certificate or diploma,No,No
2017-02-09 22:00,2017-02-09 22:03,IP Address,173.242.184.17,100,202,TRUE,2017-02-09 22:00,BIGHW1605M,,,,,43.647995,-79.41770172,anonymous,EN,210,Other,3,2,3,No,Organic,Unsure,68,Male,"$75,000 to less than $90,000","None, or grade 1-8",No,Yes
2017-02-10 2:07,2017-02-10 2:11,IP Address,173.242.184.17,100,226,TRUE,2017-02-10 2:07,STWNR2915Z,,,,,43.647995,-79.41770172,anonymous,EN,173866,Other,3,2,2,No,Organic,Socks that never get holes,45,Female,"$40,000 to less than $75,000","University certificate, diploma, or degree",No,Yes
2017-02-05 23:34,2017-02-05 23:38,IP Address,173.242.184.17,100,265,TRUE,2017-02-05 23:34,TPPLU8277V,,,,,43.647995,-79.41770172,anonymous,EN,981091,Customer Complaint,2,2,3,No,Hydroponics,Sock bands that always stay up,44,Female,"$90,000 to less than $100,000",Registered Apprenticeship or other trades certificate or diploma,No,No
2017-02-06 2:30,2017-02-06 2:33,IP Address,173.242.184.17,100,159,TRUE,2017-02-06 2:30,HVLSD3724B,,,,,43.647995,-79.41770172,anonymous,EN,211135,"Socks didn't fit, calling to exchange",2,3,2,Yes,Organic,Socks that change colour so you never wear mismatched socks again,22,Male,"$30,000 to less than $40,000",Registered Apprenticeship or other trades certificate or diploma,No,Yes
2017-02-05 5:16,2017-02-05 5:20,IP Address,173.242.184.17,100,215,TRUE,2017-02-05 5:16,MMRXS2881Y,,,,,43.647995,-79.41770172,anonymous,EN,879,Questions about Dilma's Socks,6,7,5,Yes,Conventional Farming,Socks that change colour so you never wear mismatched socks again,49,Male,"Less than $10,000",College or other non-university certificate or diploma,No,No
2017-02-09 10:13,2017-02-09 10:16,IP Address,173.242.184.17,100,192,TRUE,2017-02-09 10:13,DZPQD2222W,,,,,43.647995,-79.41770172,anonymous,EN,5354,Customer Complaint,4,4,4,Yes,Hydroponics,Anti-sweat technology,37,Male,"$40,000 to less than $75,000",Registered Apprenticeship or other trades certificate or diploma,No,Yes
2017-02-08 2:16,2017-02-08 2:19,IP Address,173.242.184.17,100,191,TRUE,2017-02-08 2:16,OBVZA5113T,,,,,43.647995,-79.41770172,anonymous,EN,421,Other,4,5,4,Yes,Moonlight Harvest,Anti-sweat technology,65,Male,"$75,000 to less than $90,000","Post-graduate or professional schooling after university (e.g., Master's degree or Ph.D; law or medical school)",No,Yes
2017-02-09 21:34,2017-02-09 21:37,IP Address,173.242.184.17,100,166,TRUE,2017-02-09 21:34,NUIMD0827C,,,,,43.647995,-79.41770172,anonymous,EN,11523,Customer Complaint,6,6,5,Yes,Organic,Socks that change colour so you never wear mismatched socks again,48,Male,"$20,000 to less than $30,000",College or other non-university certificate or diploma,No,Yes
2017-02-06 12:39,2017-02-06 12:43,IP Address,173.242.184.17,100,234,TRUE,2017-02-06 12:39,DRWIL2554W,,,,,43.647995,-79.41770172,anonymous,EN,720,"Socks didn't fit, calling to exchange",5,5,5,No,Organic,Anti-sweat technology,41,Male,"$90,000 to less than $100,000","Post-graduate or professional schooling after university (e.g., Master's degree or Ph.D; law or medical school)",Yes,No
2017-02-06 12:28,2017-02-06 12:31,IP Address,173.242.184.17,100,216,TRUE,2017-02-06 12:28,VHKUP3086F,,,,,43.647995,-79.41770172,anonymous,EN,976631,"Socks didn't fit, calling to exchange",6,7,6,No,Organic,Socks that never get holes,44,Female,"$30,000 to less than $40,000",College or other non-university certificate or diploma,No,Yes
2017-02-06 12:13,2017-02-06 12:15,IP Address,173.242.184.17,100,167,TRUE,2017-02-06 12:13,SETBV9770N,,,,,43.647995,-79.41770172,anonymous,EN,41600,"Socks didn't fit, calling to exchange",4,3,4,No,Organic,Anti-sweat technology,42,Female,"$90,000 to less than $100,000",Registered Apprenticeship or other trades certificate or diploma,Yes,No
2017-02-05 17:08,2017-02-05 17:12,IP Address,173.242.184.17,100,210,TRUE,2017-02-05 17:08,VKLRK9612H,,,,,43.647995,-79.41770172,anonymous,EN,106394,Customer Complaint,2,3,3,Yes,Organic,Unsure,46,Female,"$20,000 to less than $30,000",Secondary (high) school incomplete,No,Yes
2017-02-05 20:53,2017-02-05 20:56,IP Address,173.242.184.17,100,197,TRUE,2017-02-05 20:53,TBBGQ1185L,,,,,43.647995,-79.41770172,anonymous,EN,815815,"Socks didn't fit, calling to exchange",6,5,5,Yes,Organic,Socks that never get holes,29,Female,"$40,000 to less than $75,000",Registered Apprenticeship or other trades certificate or diploma,No,No
2017-02-09 1:13,2017-02-09 1:18,IP Address,173.242.184.17,100,246,TRUE,2017-02-09 1:13,WBOWF9227Y,,,,,43.647995,-79.41770172,anonymous,EN,8330,Questions about Dilma's Socks,6,5,5,No,Hydroponics,Anti-sweat technology,74,Female,"$40,000 to less than $75,000",College or other non-university certificate or diploma,No,No
2017-02-05 21:15,2017-02-05 21:20,IP Address,173.242.184.17,100,257,TRUE,2017-02-05 21:15,YWGCM2836F,,,,,43.647995,-79.41770172,anonymous,EN,133,"Socks didn't fit, calling to exchange",4,4,5,Yes,Organic,Anti-sweat technology,58,Female,"$40,000 to less than $75,000",College or other non-university certificate or diploma,No,No
2017-02-04 2:55,2017-02-04 2:58,IP Address,173.242.184.17,100,210,TRUE,2017-02-04 2:55,YEIGG0701D,,,,,43.647995,-79.41770172,anonymous,EN,9376,Customer Complaint,3,3,3,Yes,Organic,Anti-sweat technology,61,Female,"$90,000 to less than $100,000","Post-graduate or professional schooling after university (e.g., Master's degree or Ph.D; law or medical school)",No,No
2017-02-08 4:53,2017-02-08 4:56,IP Address,173.242.184.17,100,163,TRUE,2017-02-08 4:53,LSMMM0557O,,,,,43.647995,-79.41770172,anonymous,EN,793805,Other,5,4,4,Yes,Organic,Anti-sweat technology,53,Male,"$10,000 to less than $20,000","University certificate, diploma, or degree",No,Yes
2017-02-10 2:28,2017-02-10 2:32,IP Address,173.242.184.17,100,263,TRUE,2017-02-10 2:28,TDHGD4261Z,,,,,43.647995,-79.41770172,anonymous,EN,95426,Customer Complaint,3,5,3,No,Hydroponics,Anti-sweat technology,75,Female,"$150,000 or more","Post-graduate or professional schooling after university (e.g., Master's degree or Ph.D; law or medical school)",No,No
2017-02-03 10:00,2017-02-03 10:03,IP Address,173.242.184.17,100,188,TRUE,2017-02-03 10:00,WHEKD5251V,,,,,43.647995,-79.41770172,anonymous,EN,677850,Other,4,4,5,Yes,Organic,Anti-sweat technology,19,Female,"Less than $10,000",Registered Apprenticeship or other trades certificate or diploma,No,No
2017-02-05 0:52,2017-02-05 0:55,IP Address,173.242.184.17,100,186,TRUE,2017-02-05 0:52,CRFOJ9697L,,,,,43.647995,-79.41770172,anonymous,EN,7703,Customer Complaint,4,4,3,Yes,Hydroponics,Socks that change colour so you never wear mismatched socks again,56,Female,"Less than $10,000","Post-graduate or professional schooling after university (e.g., Master's degree or Ph.D; law or medical school)",Yes,No
2017-02-09 22:42,2017-02-09 22:47,IP Address,173.242.184.17,100,264,TRUE,2017-02-09 22:42,ANOXL5487A,,,,,43.647995,-79.41770172,anonymous,EN,466,Other,3,3,3,No,Organic,Anti-sweat technology,48,Male,"$150,000 or more","Post-graduate or professional schooling after university (e.g., Master's degree or Ph.D; law or medical school)",No,Yes
2017-02-07 1:41,2017-02-07 1:44,IP Address,173.242.184.17,100,196,TRUE,2017-02-07 1:41,QHDVR6308V,,,,,43.647995,-79.41770172,anonymous,EN,838,Other,3,2,2,No,Hydroponics,Anti-sweat technology,51,Female,"$90,000 to less than $100,000",College or other non-university certificate or diploma,No,Yes
2017-02-08 18:09,2017-02-08 18:13,IP Address,173.242.184.17,100,233,TRUE,2017-02-08 18:09,OEFLG6101Z,,,,,43.647995,-79.41770172,anonymous,EN,61797,Customer Complaint,3,4,4,Yes,Organic,Socks that change colour so you never wear mismatched socks again,22,Male,"$30,000 to less than $40,000","University certificate, diploma, or degree",No,No
2017-02-04 13:55,2017-02-04 13:58,IP Address,173.242.184.17,100,160,TRUE,2017-02-04 13:55,EFYKR4245K,,,,,43.647995,-79.41770172,anonymous,EN,68724,"Socks didn't fit, calling to exchange",6,5,5,Yes,Organic,Anti-sweat technology,51,Female,"$90,000 to less than $100,000","Post-graduate or professional schooling after university (e.g., Master's degree or Ph.D; law or medical school)",No,No
2017-02-09 14:59,2017-02-09 15:03,IP Address,173.242.184.17,100,211,TRUE,2017-02-09 14:59,ELXAL6161W,,,,,43.647995,-79.41770172,anonymous,EN,90874,Customer Complaint,3,4,3,No,Organic,Anti-sweat technology,54,Female,"$150,000 or more","Post-graduate or professional schooling after university (e.g., Master's degree or Ph.D; law or medical school)",No,Yes
2017-02-06 20:57,2017-02-06 21:01,IP Address,173.242.184.17,100,232,TRUE,2017-02-06 20:57,NOHOP5514V,,,,,43.647995,-79.41770172,anonymous,EN,9592,Customer Complaint,3,4,3,No,Hydroponics,Socks that never get holes,60,Male,"$90,000 to less than $100,000",College or other non-university certificate or diploma,No,Yes
2017-02-05 23:32,2017-02-05 23:36,IP Address,173.242.184.17,100,224,TRUE,2017-02-05 23:32,HWKOZ9500W,,,,,43.647995,-79.41770172,anonymous,EN,25639,Questions about Dilma's Socks,3,3,3,Yes,Organic,Socks that change colour so you never wear mismatched socks again,69,Female,"$30,000 to less than $40,000","None, or grade 1-8",No,Yes
2017-02-08 23:27,2017-02-08 23:31,IP Address,173.242.184.17,100,210,TRUE,2017-02-08 23:27,WDGGI5367U,,,,,43.647995,-79.41770172,anonymous,EN,268,Questions about Dilma's Socks,5,5,5,Yes,Hydroponics,Socks that never get holes,63,Male,"$75,000 to less than $90,000","Post-graduate or professional schooling after university (e.g., Master's degree or Ph.D; law or medical school)",No,No
2017-02-08 7:52,2017-02-08 7:55,IP Address,173.242.184.17,100,229,TRUE,2017-02-08 7:52,KOEME8514S,,,,,43.647995,-79.41770172,anonymous,EN,5389,Questions about Dilma's Socks,6,5,6,Yes,Moonlight Harvest,Socks that change colour so you never wear mismatched socks again,56,Male,"$75,000 to less than $90,000",Secondary (high) school graduate,No,Yes
2017-02-09 17:37,2017-02-09 17:41,IP Address,173.242.184.17,100,248,TRUE,2017-02-09 17:37,QRETW5915D,,,,,43.647995,-79.41770172,anonymous,EN,201,Customer Complaint,5,5,5,Yes,Organic,Anti-sweat technology,30,Male,"$75,000 to less than $90,000","None, or grade 1-8",No,No
2017-02-06 3:30,2017-02-06 3:34,IP Address,173.242.184.17,100,222,TRUE,2017-02-06 3:30,LHUGM9785H,,,,,43.647995,-79.41770172,anonymous,EN,22593,Questions about Dilma's Socks,5,5,6,Yes,Organic,Anti-sweat technology,46,Male,"$40,000 to less than $75,000","University certificate, diploma, or degree",No,Yes
2017-02-07 18:42,2017-02-07 18:45,IP Address,173.242.184.17,100,191,TRUE,2017-02-07 18:42,EIXNC0366P,,,,,43.647995,-79.41770172,anonymous,EN,17832,Customer Complaint,2,3,3,No,Organic,Anti-sweat technology,59,Female,"$30,000 to less than $40,000",Registered Apprenticeship or other trades certificate or diploma,No,Yes
